/SUM15/D343737593 ; 2012-07-23T00:06:43.12
/SUM15/D343737967 ; 2012-07-23T00:11:43.12
/SUM15/D343738163 ; 2012-07-23T00:14:19.12
/SUM15/D343738299 ; 2012-07-23T00:16:43.12
/SUM15/D343738530 ; 2012-07-23T00:19:19.12
/SUM15/D343738732 ; 2012-07-23T00:21:43.12
/SUM15/D343738899 ; 2012-07-23T00:24:19.12
/SUM15/D343739094 ; 2012-07-23T00:26:43.12
/SUM15/D343739234 ; 2012-07-23T00:29:19.12
/SUM15/D343739400 ; 2012-07-23T00:31:43.12
/SUM15/D343739546 ; 2012-07-23T00:34:19.12
/SUM15/D343739747 ; 2012-07-23T00:36:43.12
/SUM15/D343739864 ; 2012-07-23T00:39:19.12
/SUM15/D343740075 ; 2012-07-23T00:41:43.12
/SUM15/D343740248 ; 2012-07-23T00:44:19.13
/SUM15/D343740446 ; 2012-07-23T00:46:43.13
/SUM15/D343740586 ; 2012-07-23T00:49:19.12
/SUM15/D343740747 ; 2012-07-23T00:51:43.12
/SUM15/D343740965 ; 2012-07-23T00:54:19.13
/SUM15/D343741113 ; 2012-07-23T00:56:43.13
/SUM15/D343741320 ; 2012-07-23T00:59:19.12
/SUM15/D343741460 ; 2012-07-23T01:01:43.12
/SUM15/D343741673 ; 2012-07-23T01:04:19.13
/SUM15/D343741807 ; 2012-07-23T01:06:43.13
/SUM15/D343742126 ; 2012-07-23T01:11:43.12
/SUM15/D343742362 ; 2012-07-23T01:14:19.13
/SUM15/D343742502 ; 2012-07-23T01:16:43.13
/SUM15/D343742690 ; 2012-07-23T01:19:19.14
/SUM15/D343742823 ; 2012-07-23T01:21:43.12
/SUM15/D343742994 ; 2012-07-23T01:24:19.13
/SUM15/D343743184 ; 2012-07-23T01:26:43.13
/SUM15/D343743327 ; 2012-07-23T01:29:19.14
/SUM15/D343743544 ; 2012-07-23T01:31:43.14
/SUM15/D343743690 ; 2012-07-23T01:34:19.13
/SUM15/D343743888 ; 2012-07-23T01:36:43.13
/SUM15/D343744021 ; 2012-07-23T01:39:19.14
/SUM15/D343744207 ; 2012-07-23T01:41:43.13
/SUM15/D343744382 ; 2012-07-23T01:44:19.13
/SUM15/D343744567 ; 2012-07-23T01:46:43.13
/SUM15/D343744731 ; 2012-07-23T01:49:19.12
/SUM15/D343744878 ; 2012-07-23T01:51:43.12
/SUM15/D343745026 ; 2012-07-23T01:54:19.13
/SUM15/D343745220 ; 2012-07-23T01:56:43.13
/SUM15/D343745391 ; 2012-07-23T01:59:19.13
/SUM15/D343745572 ; 2012-07-23T02:01:43.12
/SUM15/D343745783 ; 2012-07-23T02:04:19.12
/SUM15/D343745932 ; 2012-07-23T02:06:43.12
/SUM15/D343746269 ; 2012-07-23T02:11:43.12
/SUM15/D343746493 ; 2012-07-23T02:14:19.12
/SUM15/D343746664 ; 2012-07-23T02:16:43.12
/SUM15/D343746845 ; 2012-07-23T02:19:19.12
/SUM15/D343746967 ; 2012-07-23T02:21:43.12
/SUM15/D343747137 ; 2012-07-23T02:24:19.12
/SUM15/D343747289 ; 2012-07-23T02:26:43.13
/SUM15/D343747469 ; 2012-07-23T02:29:19.12
/SUM15/D343747618 ; 2012-07-23T02:31:43.12
/SUM15/D343747839 ; 2012-07-23T02:34:19.12
/SUM15/D343747981 ; 2012-07-23T02:36:43.13
/SUM15/D343748167 ; 2012-07-23T02:39:19.12
/SUM15/D343748299 ; 2012-07-23T02:41:43.12
/SUM15/D343748514 ; 2012-07-23T02:44:19.12
/SUM15/D343748646 ; 2012-07-23T02:46:43.13
/SUM15/D343748823 ; 2012-07-23T02:49:19.12
/SUM15/D343748962 ; 2012-07-23T02:51:43.12
/SUM15/D343749177 ; 2012-07-23T02:54:19.12
/SUM15/D343749353 ; 2012-07-23T02:56:43.13
/SUM15/D343749494 ; 2012-07-23T02:59:19.12
/SUM15/D343749695 ; 2012-07-23T03:01:43.13
/SUM15/D343749836 ; 2012-07-23T03:04:19.12
/SUM15/D343750034 ; 2012-07-23T03:06:43.13
/SUM15/D343750369 ; 2012-07-23T03:11:43.12
/SUM15/D343750576 ; 2012-07-23T03:14:19.12
/SUM15/D343750719 ; 2012-07-23T03:16:43.13
/SUM15/D343751407 ; 2012-07-23T03:26:43.13
/SUM15/D343752061 ; 2012-07-23T03:36:43.12
/SUM15/D343752819 ; 2012-07-23T03:46:43.13
/SUM15/D343753516 ; 2012-07-23T03:56:43.13
/SUM15/D343754222 ; 2012-07-23T04:06:43.13
/SUM15/D343754982 ; 2012-07-23T04:16:43.13
/SUM15/D343755695 ; 2012-07-23T04:26:43.13
/SUM15/D343756382 ; 2012-07-23T04:36:43.13
/SUM15/D343757077 ; 2012-07-23T04:46:43.13
/SUM15/D343757750 ; 2012-07-23T04:56:43.14
/SUM15/D343758451 ; 2012-07-23T05:06:43.13
/SUM15/D343759117 ; 2012-07-23T05:16:43.13
/SUM15/D343759940 ; 2012-07-23T05:26:43.13
/SUM15/D343760728 ; 2012-07-23T05:36:43.13
/SUM15/D343761503 ; 2012-07-23T05:46:43.14
/SUM15/D343762255 ; 2012-07-23T05:56:43.12
/SUM15/D343763045 ; 2012-07-23T06:06:43.12
/SUM15/D343763845 ; 2012-07-23T06:16:43.12
/SUM15/D343764617 ; 2012-07-23T06:26:43.12
/SUM15/D343765449 ; 2012-07-23T06:36:43.12
/SUM15/D343766220 ; 2012-07-23T06:46:43.12
/SUM15/D343767042 ; 2012-07-23T06:56:43.12
/SUM15/D343767860 ; 2012-07-23T07:06:43.12
